No,lambda,rho,c,phi,E_50,E_oed,E_ur,C,D,C_D,s_max,i
0,0.1,2100,0,42,90,90,270,6.21,6.9,0.9,4.61,7.00
1,0.21,2100,0,42,90,90,270,6.21,6.9,0.9,6.52,7.23
2,0.1,1950,32.8,23,9.5,12,30,41.04,10.8,3.8,18.31,27.78
3,0.3,1950,32.8,23,9.5,12,30,41.04,10.8,3.8,39.55,28.95
4,0.1,1900,0,35,45,45,180,9.52,13.6,0.7,16.61,12.75
5,0.25,1900,0,35,45,45,180,9.52,13.6,0.7,28.10,13.59
6,0.1,2000,10,25.2,4.4,3.4,14,9.5,9.5,1,29.21,8.71
7,0.2,2000,10,25.2,4.4,3.4,14,9.5,9.5,1,56.40,10.81
8,0.1,1900,0,35,45,45,180,5.8,5.8,1,3.85,6.40
9,0.18,1900,0,35,45,45,180,5.8,5.8,1,5.49,7.15
10,0.1,1950,32.8,23,9.5,12,30,12.72,10.6,1.2,17.16,11.79
11,0.23,1950,32.8,23,9.5,12,30,12.72,10.6,1.2,32.72,13.23
12,0.1,2000,10,25.2,4.4,3.4,14,10.64,5.6,1.9,10.17,8.57
13,0.22,2000,10,25.2,4.4,3.4,14,10.64,5.6,1.9,25.59,9.58
14,0.1,1900,0,35,45,45,180,30.16,10.4,2.9,13.87,23.65
15,0.28,1900,0,35,45,45,180,30.16,10.4,2.9,21.69,25.09
16,0.1,1900,0,35,45,45,180,11.57,8.9,1.3,9.15,11.90
17,0.3,1900,0,35,45,45,180,11.57,8.9,1.3,16.91,13.84
18,0.1,2100,0,42,90,90,270,33,6.6,5,6.08,20.12
19,0.3,2100,0,42,90,90,270,33,6.6,5,8.98,20.19
20,0.5,2100,0,42,90,90,270,33,6.6,5,13.19,20.22
21,0.1,1950,32.8,23,9.5,12,30,10.29,14.7,0.7,25.76,12.26
22,0.2,1950,32.8,23,9.5,12,30,10.29,14.7,0.7,45.75,13.72
23,0.1,2000,10,25.2,4.4,3.4,14,49.92,12.8,3.9,64.49,34.61
24,0.2,2000,10,25.2,4.4,3.4,14,49.92,12.8,3.9,96.71,36.00
